EE Provider ID	EE UID	Client Unique ID	Client ID	Entry Exit Group Id	Entry Exit Household Id		Entry Date	Housing Move-in Date(5584)	Exit Date	Destination	Reason for Leaving	Entry Exit Type	Entry Exit Date Added	Entry Exit Date Updated
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688755	lprm02161976l652p636	387703				8/15/2015		8/22/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688756	hrwm05121962h560r500	370346				8/15/2015	10/1/2014	8/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688757	apum12021961a160p520	280121				8/15/2015		8/22/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688767	sadm04041963s310a536	403361				8/15/2015		8/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688768	kfam06191978k150f626	403936				8/15/2015		9/17/2015	Hospital or other residential non-psychiatric medical facility (HUD)	Other	HUD	8/21/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688770	gbom05241965g626b650	373323				8/15/2015		9/2/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/3/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688777	fhwm04241971f636h400	404041				8/17/2015		8/23/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688780	pimm10111970p400i550	281794				8/17/2015		8/26/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/27/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688782	asom03261979a650s300	288078				8/17/2015		10/14/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	10/15/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688784	vptm05261962v525p355	253473				8/17/2015		8/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688785	esom09221958e430s324	128049				8/17/2015		8/22/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688788	crnm07221992c642r500	365130				8/17/2015		9/4/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/8/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688796	mbrm01261965m240b652	399024				8/15/2015		8/23/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688797	dbrm11191967d130b653	294505				8/17/2015		8/18/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688800	tpam03121976t500p625	408793				8/17/2015		9/11/2015	Permanent housing (other than RRH) for formerly homeless persons (HUD)	Left for housing opp. before completing program	HUD	8/21/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688803	tlnm11091974t650l536	169662				8/17/2015		9/16/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688804	cjnm05161982c642j525	368692				8/17/2015		8/27/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/28/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688805	jhrm11251957j520h622	395939				8/18/2015		2/11/2016	Rental by client, no ongoing housing subsidy (HUD)	Completed program	HUD	8/21/2015	2/12/2016
